iter	Passed	Remaining
0	1	1645
1	3	1743
2	5	1814
3	7	1850
4	8	1779
5	10	1790
6	11	1699
7	13	1637
8	14	1599
9	16	1657
10	18	1682
11	19	1623
12	21	1665
13	23	1665
14	24	1640
15	26	1607
16	28	1625
17	30	1644
18	32	1656
19	33	1665
20	35	1672
21	37	1678
22	39	1658
23	40	1662
24	41	1631
25	43	1623
26	45	1632
27	47	1646
28	49	1659
29	51	1667
30	53	1686
31	56	1705
32	58	1719
33	60	1716
34	62	1715
35	64	1714
36	65	1707
37	67	1701
38	68	1676
39	69	1669
40	71	1666
41	72	1662
42	74	1659
43	76	1662
44	78	1665
45	79	1654
46	81	1652
47	83	1655
48	85	1652
49	87	1654
50	89	1667
51	91	1669
52	93	1666
53	95	1665
54	96	1663
55	98	1663
56	100	1658
57	101	1653
58	103	1650
59	105	1649
60	107	1654
61	109	1652
62	110	1649
63	112	1649
64	114	1650
65	117	1657
66	119	1661
67	121	1660
68	123	1659
69	124	1656
70	125	1642
71	127	1639
72	128	1630
73	130	1628
74	131	1625
75	133	1626
76	135	1627
77	137	1630
78	139	1630
79	141	1628
80	143	1631
81	145	1629
82	147	1633
83	150	1639
84	151	1636
85	153	1631
86	154	1626
87	156	1621
88	158	1617
89	159	1613
90	161	1608
91	162	1606
92	164	1605
93	166	1607
94	168	1608
95	170	1606
96	172	1609
97	175	1612
98	177	1612
99	178	1604
100	179	1601
101	181	1597
102	183	1595
103	184	1592
104	186	1590
105	188	1587
106	189	1585
107	191	1581
108	193	1579
109	194	1577
110	197	1578
111	199	1580
112	201	1578
113	202	1577
114	204	1577
115	206	1576
116	209	1578
117	211	1578
118	212	1574
119	214	1570
120	215	1567
121	217	1563
122	218	1559
123	220	1556
124	221	1552
125	223	1548
126	224	1544
127	225	1537
128	227	1534
129	228	1531
130	230	1528
131	231	1524
132	233	1521
133	235	1518
134	236	1516
135	238	1514
136	240	1513
137	241	1508
138	243	1508
139	244	1504
140	246	1504
141	248	1503
142	251	1505
143	253	1505
144	255	1504
145	257	1504
146	258	1501
147	260	1498
148	260	1490
149	262	1487
150	263	1483
151	265	1481
152	267	1479
153	268	1477
154	270	1474
155	271	1471
156	273	1470
157	275	1469
158	276	1464
159	278	1463
160	281	1467
161	283	1467
162	286	1469
163	288	1470
164	290	1468
165	291	1465
166	293	1462
167	294	1459
168	296	1458
169	298	1455
170	299	1453
171	301	1452
172	303	1451
173	305	1451
174	307	1450
175	310	1451
176	312	1453
177	314	1451
178	316	1450
179	317	1448
180	319	1446
181	321	1443
182	322	1440
183	324	1437
184	325	1435
185	327	1433
186	329	1432
187	331	1430
188	333	1429
189	335	1429
190	336	1425
191	338	1424
192	340	1424
193	343	1425
194	345	1427
195	347	1425
196	349	1422
197	350	1419
198	352	1416
199	353	1413
200	355	1411
201	356	1409
202	358	1407
203	360	1406
204	362	1405
205	364	1403
206	366	1402
207	368	1402
208	370	1400
209	372	1400
210	374	1399
211	376	1398
212	378	1396
213	379	1394
214	381	1391
215	382	1389
216	384	1387
217	386	1386
218	388	1384
219	390	1383
220	392	1382
221	393	1380
222	395	1379
223	398	1379
224	400	1379
225	402	1378
226	404	1377
227	406	1375
228	407	1372
229	408	1369
230	410	1366
231	412	1364
232	413	1361
233	415	1359
234	416	1356
235	418	1354
236	420	1352
237	422	1351
238	423	1348
239	425	1346
240	427	1345
241	429	1345
242	431	1345
243	434	1345
244	435	1343
245	437	1340
246	439	1338
247	440	1335
248	442	1333
249	443	1329
250	444	1327
251	446	1324
252	447	1322
253	449	1320
254	451	1319
255	453	1317
256	455	1316
257	457	1315
258	459	1313
259	460	1311
260	462	1310
261	465	1310
262	466	1308
263	468	1305
264	469	1303
265	471	1301
266	473	1298
267	473	1294
268	475	1292
269	476	1288
270	478	1286
271	480	1284
272	482	1284
273	484	1282
274	486	1281
275	488	1281
276	490	1280
277	492	1280
278	495	1279
279	496	1277
280	498	1275
281	499	1272
282	501	1270
283	502	1268
284	504	1264
285	505	1262
286	507	1259
287	508	1257
288	510	1255
289	511	1253
290	513	1250
291	514	1247
292	516	1246
293	518	1245
294	520	1243
295	522	1242
296	524	1241
297	526	1240
298	528	1240
299	530	1238
300	532	1236
301	534	1234
302	535	1231
303	537	1229
304	539	1228
305	540	1226
306	542	1225
307	544	1223
308	547	1223
309	549	1222
310	550	1220
311	552	1219
312	554	1217
313	556	1216
314	558	1215
315	560	1213
316	562	1212
317	564	1210
318	565	1207
319	567	1205
320	568	1203
321	570	1201
322	576	1208
323	577	1205
324	578	1201
325	580	1199
326	581	1196
327	583	1194
328	584	1192
329	586	1190
330	588	1188
331	589	1186
332	591	1185
333	594	1184
334	596	1183
335	598	1182
336	600	1181
337	602	1179
338	604	1178
339	606	1177
340	608	1175
341	610	1174
342	612	1173
343	614	1171
344	616	1171
345	621	1175
346	624	1175
347	626	1174
348	628	1173
349	631	1171
350	633	1170
351	634	1168
352	636	1166
353	638	1164
354	639	1162
355	641	1160
356	643	1158
357	645	1156
358	646	1154
359	648	1152
360	649	1150
361	651	1148
362	653	1146
363	655	1145
364	657	1144
365	659	1142
366	662	1142
367	664	1141
368	667	1140
369	669	1139
370	671	1138
371	672	1135
372	674	1133
373	676	1131
374	677	1129
375	679	1127
376	681	1125
377	683	1123
378	685	1122
379	687	1121
380	689	1119
381	691	1118
382	693	1116
383	694	1114
384	696	1112
385	698	1110
386	700	1108
387	701	1107
388	703	1105
389	705	1103
390	707	1101
391	708	1099
392	710	1097
393	712	1095
394	714	1093
395	715	1091
396	717	1090
397	719	1088
398	721	1086
399	723	1084
400	724	1082
401	726	1080
402	728	1078
403	729	1076
404	731	1074
405	732	1072
406	734	1070
407	736	1068
408	738	1066
409	740	1065
410	742	1063
411	744	1062
412	746	1060
413	747	1058
414	749	1056
415	751	1054
416	753	1053
417	755	1051
418	757	1050
419	759	1048
420	760	1046
421	762	1044
422	763	1042
423	765	1040
424	767	1038
425	769	1036
426	771	1035
427	773	1034
428	775	1032
429	777	1030
430	779	1028
431	781	1027
432	783	1025
433	785	1024
434	787	1022
435	788	1020
436	790	1018
437	791	1016
438	793	1013
439	794	1011
440	796	1009
441	798	1007
442	800	1005
443	802	1004
444	803	1002
445	806	1001
446	808	1000
447	810	999
448	813	997
449	815	996
450	816	994
451	818	991
452	819	989
453	821	987
454	822	985
455	824	983
456	825	981
457	827	979
458	829	977
459	831	975
460	832	973
461	834	972
462	836	970
463	838	968
464	840	967
465	841	964
466	843	962
467	845	961
468	847	959
469	848	957
470	850	955
471	852	953
472	853	951
473	855	949
474	856	946
475	858	944
476	859	942
477	861	940
478	862	938
479	864	936
480	867	935
481	869	934
482	871	932
483	873	931
484	875	929
485	877	927
486	879	926
487	881	924
488	883	922
489	884	920
490	886	918
491	887	916
492	888	913
493	890	911
494	891	909
495	893	908
496	896	906
497	898	905
498	900	903
499	902	902
500	905	901
501	907	900
502	908	898
503	910	896
504	912	894
505	913	892
506	915	890
507	916	887
508	918	885
509	920	884
510	921	882
511	923	880
512	925	878
513	927	877
514	929	875
515	932	874
516	934	872
517	936	871
518	937	869
519	939	867
520	941	865
521	942	863
522	944	861
523	945	858
524	947	856
525	947	854
526	949	852
527	950	850
528	952	847
529	953	845
530	955	843
531	957	841
532	958	839
533	960	838
534	961	836
535	963	834
536	965	832
537	966	830
538	968	828
539	970	826
540	972	825
541	974	823
542	976	821
543	978	820
544	980	818
545	983	817
546	985	815
547	986	813
548	988	811
549	989	809
550	991	807
551	992	805
552	994	803
553	995	801
554	997	799
555	998	797
556	1000	795
557	1003	794
558	1004	792
559	1006	791
560	1009	789
561	1011	788
562	1013	786
563	1015	784
564	1016	782
565	1018	780
566	1019	778
567	1021	776
568	1022	774
569	1023	771
570	1025	770
571	1026	768
572	1028	766
573	1030	764
574	1032	763
575	1034	761
576	1036	759
577	1038	758
578	1040	756
579	1042	754
580	1044	753
581	1045	751
582	1047	749
583	1048	747
584	1050	745
585	1051	743
586	1053	741
587	1055	739
588	1056	737
589	1066	741
590	1068	739
591	1071	738
592	1072	736
593	1074	734
594	1075	732
595	1077	730
596	1078	728
597	1080	726
598	1081	724
599	1083	722
600	1085	720
601	1086	718
602	1088	716
603	1090	714
604	1091	712
605	1093	711
606	1095	709
